,area,latitude,longitude,bedrooms,bathrooms,balcony,ready_to_move,new_housing,parking,lift,flat_or_individual,furnished_status_Semi-Furnished,furnished_status_Unfurnished
234,700,19.032798767089844,72.89635467529297,2,2,1,1,1,1,1,1,1,0
235,1900,19.0627555847168,72.85449981689453,3,3,4,1,0,4,4,1,0,0
236,1300,19.0504924,72.8906205,3,3,0,1,0,0,0,1,0,1
237,760,19.2987966666667,72.8722083333333,2,2,1,1,0,1,1,1,0,1
238,600,19.282169342041016,72.87654113769531,2,2,0,1,0,0,0,1,1,0
239,1150,19.21034034,72.84053540000001,3,3,2,1,0,2,2,1,0,1
240,1768,19.153724,72.844521,3,3,0,1,0,0,0,1,0,1
241,850,19.39954,72.8604165,2,2,0,1,0,0,0,1,0,1
242,800,19.153299,72.88662099999999,2,2,2,1,0,2,2,1,0,1
243,850,19.443851,72.795373,2,2,2,1,0,2,2,1,0,1
244,1200,18.96249,72.81748,2,3,0,1,0,0,0,0,1,0
245,650,19.17067,72.93618000000001,2,2,0,1,0,0,0,1,1,0
246,700,19.090567,72.834885,2,2,0,1,0,0,0,1,0,1
247,1206,19.0430729,72.840565,2,2,0,1,0,0,0,1,0,1
248,850,19.0327996,72.89635679999999,2,2,0,1,0,0,0,1,1,0
249,1120,19.2987966666667,72.8722083333333,2,2,1,1,0,1,1,1,0,1
250,1412,19.06680489,72.85129455,2,2,1,1,0,1,1,1,0,1
251,850,19.2539332,72.8672448,2,2,0,1,0,0,0,1,0,0
252,997,19.1181,72.89485,2,2,1,1,0,1,1,1,0,1
253,1140,19.081175,72.84143900000001,3,3,0,1,0,0,0,1,1,0
254,1755,19.218124,72.994126,3,3,2,1,0,2,2,1,1,0
255,525,19.071989,72.88408199999999,2,2,0,1,0,0,0,1,0,1
256,1100,19.234639,73.16113399999999,2,2,0,1,0,0,0,1,1,0
257,750,19.2308654,73.0713733,2,2,0,1,0,0,0,1,1,0
258,935,19.46829575,72.79722734,2,2,0,1,0,0,0,1,0,1
259,1530,19.209943771362305,72.83087158203125,3,3,4,1,0,4,4,1,0,0
260,880,19.29443,72.8783283333333,2,2,4,1,0,4,4,1,0,1
261,1200,19.21404838562012,72.85497283935547,3,4,0,1,0,0,0,1,1,0
262,800,19.2335321,72.839198,2,2,3,1,0,3,3,1,1,0
263,900,19.29680689,72.87753801,2,2,0,1,0,0,0,1,0,1
264,1250,19.0128091,72.851598,3,2,1,1,0,1,1,1,0,1
265,1667,19.117154,72.856063,3,3,3,1,0,3,3,1,0,1
266,845,19.22889,72.82409,2,2,0,1,0,0,0,1,0,1
267,1500,19.116129,72.82195899999999,2,2,0,1,0,0,0,1,0,1
268,1440,19.13678359985352,72.86386108398438,3,3,4,1,0,4,4,0,0,0
269,1100,19.20771,72.86777,2,2,1,1,1,1,1,1,0,1
270,853,19.1988214,72.8701056,2,2,0,1,0,0,0,0,0,1
271,1200,19.28217,72.87654,2,2,0,1,0,0,0,1,0,0
272,1200,19.136807,72.930675,2,2,0,1,0,0,0,1,0,1
273,1660,19.25067708,72.84599967,3,3,5,1,0,5,5,1,0,1
274,738,19.227331161499023,72.86373138427734,2,2,0,1,0,0,0,1,1,0
275,850,19.13141,72.83313000000001,2,2,0,1,0,0,0,0,1,0
276,750,19.36511,72.860371,2,2,1,1,0,1,1,1,0,1
277,649,19.096202,72.919057,2,2,0,1,0,0,0,1,0,1
278,750,19.141978,72.812312,2,2,0,1,0,0,0,0,0,1
279,1140,19.0799983,72.8545019,3,2,0,1,0,0,0,1,1,0
280,680,19.0893,72.88604000000001,2,2,0,1,0,0,0,1,0,1
281,840,19.39954,72.8604165,2,2,3,1,0,3,3,1,1,0
282,1400,19.1297376,72.8291555,4,3,0,1,0,0,0,1,0,1
283,1750,19.0815087,72.8376755,3,4,2,1,0,2,2,0,0,1
284,1005,19.2050017,72.86927109999999,2,2,0,1,0,0,0,1,1,0
285,1400,19.2273218,72.8590594,4,4,0,1,0,0,0,1,0,1
286,820,19.209943771362305,72.83087158203125,3,2,0,1,0,0,0,1,1,0
287,1012,19.1489765,72.8390443,2,2,0,1,1,0,0,1,0,1
288,1040,19.2009227301487,72.8629409971622,2,2,3,1,0,3,3,1,0,1
289,1200,19.163222,72.849581,3,3,0,1,0,0,0,1,0,1
290,1755,19.191842,72.83458123,3,4,0,1,0,0,0,1,0,1
291,909,19.220612,72.864144,2,2,0,1,0,0,0,1,0,1
292,1425,19.2099437,72.83086920000001,3,3,0,1,0,0,0,1,0,0
293,770,19.149901,72.931134,2,2,0,1,0,0,0,1,0,0
294,680,19.19576,72.83778000000001,2,2,0,1,0,0,0,1,0,1
295,1050,19.06427955627441,72.89292907714844,2,2,3,1,0,3,3,1,0,1
296,1100,19.062289,72.9100105,2,2,0,1,0,0,0,1,0,1
297,800,19.131888,72.85563,2,2,0,1,0,0,0,1,0,1
298,1100,19.2335321,72.839198,2,2,0,1,0,0,0,1,0,0
299,1550,19.1888050334824,72.8387497112234,3,3,1,1,0,1,1,1,0,1
300,1250,19.0013826,72.84845279999999,2,2,0,1,0,0,0,1,0,1
301,700,19.21102,72.87172,2,2,0,1,0,0,0,1,0,1
