iter	RMSE
0	27.56214476
1	27.37740847
2	27.19609874
3	27.02151738
4	26.84580953
5	26.6773953
6	26.51834493
7	26.35298056
8	26.18746676
9	26.02799024
10	25.87096894
11	25.71067772
12	25.55175866
13	25.39688018
14	25.24648482
15	25.09306471
16	24.94002616
17	24.78889642
18	24.64738975
19	24.50381913
20	24.35998848
21	24.22872128
22	24.09190478
23	23.9547861
24	23.8128605
25	23.67414814
26	23.53445723
27	23.40263575
28	23.26486093
29	23.13404746
30	23.0043062
31	22.87767992
32	22.75623254
33	22.6268874
34	22.51140798
35	22.38631452
36	22.26401824
37	22.13893222
38	22.02681546
39	21.91055684
40	21.79311607
41	21.67695971
42	21.55955409
43	21.44833934
44	21.33018192
45	21.22632209
46	21.11821617
47	21.01816668
48	20.90932662
49	20.80907692
50	20.70414049
51	20.6001129
52	20.4937428
53	20.39623437
54	20.29159444
55	20.19995986
56	20.10267278
57	20.0102163
58	19.91881393
59	19.83070338
60	19.73982899
61	19.64479111
62	19.54978249
63	19.46338539
64	19.37209161
65	19.28118327
66	19.18701726
67	19.10874562
68	19.0262798
69	18.94117193
70	18.8617569
71	18.78051559
72	18.70146745
73	18.61812476
74	18.53628831
75	18.45775942
76	18.38326742
77	18.30507877
78	18.23002146
79	18.15631232
80	18.07891683
81	18.00366017
82	17.93075407
83	17.86145122
84	17.7872974
85	17.7146127
86	17.64526673
87	17.57761536
88	17.50676653
89	17.43909684
90	17.37168028
91	17.30922488
92	17.24141826
93	17.17454528
94	17.11211293
95	17.04701125
96	16.98916694
97	16.93070403
98	16.87414545
99	16.81199907
100	16.74958352
101	16.69019153
102	16.63087985
103	16.57393291
104	16.51457176
105	16.45690383
106	16.39875411
107	16.34695633
108	16.29406492
109	16.23803291
110	16.18391509
111	16.13425648
112	16.07835602
113	16.02299025
114	15.97708933
115	15.92776632
116	15.87442
117	15.82250912
118	15.7722216
119	15.71810735
120	15.66933036
121	15.62121931
122	15.57306246
123	15.52517515
124	15.47604142
125	15.42873275
126	15.38236363
127	15.33828081
128	15.29574974
129	15.25416129
130	15.21152744
131	15.16754613
132	15.12357245
133	15.07923917
134	15.03501446
135	14.99151938
136	14.95179293
137	14.91109017
138	14.87041533
139	14.83196803
140	14.7952439
141	14.75613914
142	14.71713896
143	14.678756
144	14.64606696
145	14.60835662
146	14.57261533
147	14.53419402
148	14.49415808
149	14.45789868
150	14.42151095
151	14.38580343
152	14.35025732
153	14.32063597
154	14.28971886
155	14.25844113
156	14.21928051
157	14.18632185
158	14.15457476
159	14.12617508
160	14.09330614
161	14.06089876
162	14.02811102
163	13.99695871
164	13.96385778
165	13.93396118
166	13.90824532
167	13.87638279
168	13.84658515
169	13.81652865
170	13.78822088
171	13.76236559
172	13.73043129
173	13.70315675
174	13.67774487
175	13.65426185
176	13.62427112
177	13.59897073
178	13.57142433
179	13.54303027
180	13.51769364
181	13.49129873
182	13.47247309
183	13.44562104
184	13.42070058
185	13.39462424
186	13.3687507
187	13.3449504
188	13.32099965
189	13.29559004
190	13.27140518
191	13.2515194
