iter	RMSE
192	13.23526016
193	13.21287118
194	13.19033796
195	13.1668491
196	13.14371714
197	13.12308207
198	13.10337334
199	13.0827674
200	13.06113643
201	13.0401859
202	13.01814174
203	12.99937681
204	12.97781861
205	12.95885832
206	12.93761341
207	12.91924424
208	12.89715964
209	12.87744297
210	12.85863163
211	12.84143038
212	12.82482836
213	12.80701329
214	12.78810799
215	12.77022546
216	12.75259664
217	12.73197836
218	12.71824854
219	12.70087348
220	12.68427147
221	12.67044132
222	12.65377859
223	12.63710686
224	12.6219887
225	12.60344015
226	12.58796811
227	12.57263938
228	12.55555155
229	12.53818206
230	12.52744669
231	12.51208291
232	12.49609678
233	12.47925931
234	12.46545877
235	12.44783818
236	12.43427606
237	12.42105139
238	12.40680233
239	12.39010902
240	12.3756089
241	12.35882638
242	12.34401349
243	12.33105121
244	12.31599671
245	12.29924786
246	12.28507078
247	12.27264604
248	12.2595828
249	12.24495667
250	12.23027535
251	12.21704557
252	12.20659307
253	12.19419383
254	12.17955579
255	12.16703911
256	12.15169637
257	12.14058184
258	12.12480234
259	12.11255475
260	12.10108576
261	12.08826117
262	12.07926842
263	12.06683896
264	12.05484405
265	12.04153666
266	12.02989337
267	12.02113091
268	12.00961586
269	11.99859736
270	11.9887094
271	11.97568574
272	11.96549722
273	11.95296945
274	11.94092847
275	11.93081976
276	11.92024668
277	11.90723053
278	11.89512044
279	11.88339741
280	11.87295636
281	11.86275554
282	11.85268022
283	11.84248816
284	11.8320292
285	11.81653175
286	11.8060065
287	11.79578727
288	11.79077214
289	11.78131001
290	11.76761502
291	11.75702813
292	11.74735226
293	11.73812335
294	11.72968601
295	11.71980738
296	11.71243669
297	11.70166484
298	11.69314371
299	11.68232816
300	11.67244385
301	11.66358821
302	11.65770266
303	11.65038733
304	11.64800873
305	11.64038077
306	11.63210115
307	11.62405332
308	11.60895422
309	11.59798546
310	11.59139574
311	11.57795939
312	11.5683879
313	11.56057889
314	11.55403982
315	11.54602854
316	11.53791659
317	11.52858221
318	11.52011755
319	11.51113898
320	11.50093191
321	11.4911029
322	11.4861387
323	11.47897512
324	11.47042612
325	11.46232018
326	11.45500232
327	11.44855553
328	11.44162103
329	11.43273639
330	11.42659344
331	11.42002136
332	11.41217637
333	11.40576305
334	11.40009124
335	11.39336324
336	11.387614
337	11.37860235
338	11.36993171
339	11.36339543
340	11.35706824
341	11.34840931
342	11.34077856
343	11.32886744
344	11.32215622
345	11.31437945
346	11.30791523
347	11.29530589
348	11.28321331
349	11.27978616
350	11.27046681
351	11.26419584
352	11.25779348
353	11.25415887
354	11.24647494
355	11.24149612
356	11.23255352
357	11.21858093
358	11.2130217
359	11.20692651
360	11.20180113
361	11.19501976
362	11.18485767
363	11.17874617
364	11.17220508
365	11.16555707
366	11.15951476
367	11.15402541
368	11.14995699
369	11.14263279
370	11.13639323
371	11.13096441
372	11.12245267
373	11.10972065
374	11.10400182
375	11.09840277
376	11.09304086
377	11.08640261
378	11.07531517
379	11.06807726
380	11.06246059
381	11.05769294
382	11.0498707
383	11.04349658
384	11.03701235
385	11.03126412
386	11.02476694
387	11.01343551
388	11.00936237
389	11.00426401
390	10.99942393
391	10.99442828
392	10.98769858
393	10.98235201
394	10.97115889
395	10.96239251
396	10.95773048
397	10.95356895
398	10.9469688
399	10.94050976
400	10.93637114
401	10.92900617
402	10.9231314
403	10.91580169
404	10.91134612
405	10.90689794
406	10.90230742
407	10.89771047
408	10.89246421
409	10.88834068
410	10.88083115
411	10.87445926
412	10.86910968
413	10.86376954
414	10.86048141
415	10.85542195
416	10.85245046
417	10.84810766
418	10.84440099
419	10.84057979
420	10.83768155
421	10.83162349
422	10.82903983
423	10.82296677
424	10.81813449
425	10.8120865
426	10.80684148
427	10.80124284
428	10.79590171
429	10.79169702
430	10.78698778
431	10.78322097
432	10.78006024
433	10.77321232
434	10.76910533
435	10.76530634
436	10.75935062
437	10.75528041
438	10.75107328
439	10.74869397
440	10.7446279
441	10.73988263
442	10.73639772
443	10.73261492
444	10.72869995
445	10.72620159
446	10.72339348
447	10.71703142
448	10.71415686
449	10.70882426
450	10.70466166
451	10.7043688
452	10.69996125
453	10.69636399
454	10.69282136
455	10.6881806
456	10.6853654
457	10.68135162
458	10.67831107
459	10.67467642
460	10.66814134
461	10.66112355
462	10.65849039
463	10.65520992
464	10.6527277
465	10.64942285
466	10.64398566
467	10.64070337
468	10.63417241
469	10.63173017
470	10.62926019
471	10.62622708
472	10.6198716
473	10.61417023
474	10.61105406
475	10.60521894
476	10.59996531
477	10.593527
478	10.59106522
479	10.58861192
480	10.58448234
481	10.57800456
482	10.57277574
483	10.56850166
484	10.56647018
485	10.56420284
486	10.56068874
487	10.55387444
488	10.54996517
489	10.54773187
490	10.54247577
491	10.5371227
492	10.53389722
493	10.52778417
494	10.52466612
495	10.51892606
496	10.5151258
497	10.50740987
498	10.50443059
499	10.49527867
